diyogon 36347 Sun Aug 28 17:38:11 2016

Avatar 0:(4,34) Moving north.
0:(4,33) 1:(17,21) 2:(3,30) Avatar 1:(17,21) Moving north.
0:(28,18) 1:(10,22) 2:(10,22) Avatar 2:(10,22) Moving east.
0:(28,18) 1:(10,22) 2:(11,22) Avatar 0:(28,18) Moving east.
0:(29,18) 1:(10,22) 2:(11,22) Avatar 1:(10,22) Moving east.
0:(29,18) 1:(11,22) 2:(11,22) Avatar 2:(11,22) Moving north.
0:(29,18) 1:(11,22) 2:(11,21) Avatar 0:(29,18) Moving north.
0:(29,17) 1:(11,22) 2:(11,21) Avatar 1:(11,22) Moving north.
0:(29,17) 1:(11,21) 2:(11,21) Avatar 2:(11,21) Moving north.
0:(29,17) 1:(11,21) 2:(11,20) Avatar 0:(29,17) Moving north.
0:(29,16) 1:(11,21) 2:(11,20) Avatar 1:(11,21) Moving north.
0:(29,16) 1:(11,20) 2:(11,20) Avatar 2:(11,20) Moving north.
0:(29,16) 1:(11,20) 2:(11,20) Avatar 0:(29,16) Moving north.
0:(29,15) 1:(11,20) 2:(11,20) Avatar 1:(11,20) Sleeping.
0:(29,15) 1:(11,20) 2:(11,20) Avatar 2:(11,20) Moving east.
0:(29,15) 1:(11,20) 2:(11,20) Avatar 0:(29,15) Moving north.
0:(29,15) 1:(11,20) 2:(11,20) Avatar 1:(11,20) Sleeping.
0:(29,15) 1:(11,20) 2:(11,20) Avatar 2:(11,20) Moving west.
0:(29,15) 1:(11,20) 2:(10,20) Avatar 0:(29,15) Moving east.
0:(29,15) 1:(11,20) 2:(10,20) Avatar 1:(11,20) Moving west.
0:(29,15) 1:(10,20) 2:(10,20) Avatar 2:(10,20) Moving north.
0:(29,15) 1:(10,20) 2:(10,20) Avatar 0:(29,15) Moving west.
0:(29,15) 1:(10,20) 2:(10,20) Avatar 1:(10,20) Sleeping.
0:(29,15) 1:(10,20) 2:(10,20) Avatar 2:(10,20) Moving south.
0:(29,15) 1:(10,20) 2:(10,20) Avatar 0:(29,15) Moving south.
0:(29,16) 1:(10,20) 2:(10,20) Avatar 1:(10,20) Sleeping.
0:(29,16) 1:(10,20) 2:(10,20) Avatar 2:(10,20) Moving west.
0:(29,16) 1:(10,20) 2:(10,20) Avatar 0:(29,16) Moving east.
0:(29,16) 1:(10,20) 2:(10,20) Avatar 1:(10,20) Moving east.
0:(29,16) 1:(11,20) 2:(10,20) Avatar 2:(10,20) Moving east.
0:(29,16) 1:(11,20) 2:(11,20) Avatar 0:(29,16) Moving west.
0:(29,16) 1:(11,20) 2:(11,20) Avatar 1:(11,20) Moving south.
0:(29,16) 1:(11,21) 2:(11,20) Avatar 2:(11,20) Moving south.
0:(29,16) 1:(11,21) 2:(11,21) Avatar 0:(29,16) Moving south.
0:(29,17) 1:(11,21) 2:(11,21) Avatar 1:(11,21) Sleeping.
0:(29,17) 1:(11,21) 2:(11,21) Avatar 2:(11,21) Moving east.
0:(29,17) 1:(11,21) 2:(11,21) Avatar 0:(29,17) Moving east.
0:(30,17) 1:(11,21) 2:(11,21) Avatar 1:(11,21) Sleeping.
0:(30,17) 1:(11,21) 2:(11,21) Avatar 2:(11,21) Moving west.
0:(30,17) 1:(11,21) 2:(10,21) Avatar 0:(30,17) Moving north.
0:(30,17) 1:(11,21) 2:(10,21) Avatar 1:(11,21) Moving west.
0:(30,17) 1:(10,21) 2:(10,21) Avatar 2:(10,21) Moving west.
0:(30,17) 1:(10,21) 2:(9,21) Avatar 0:(30,17) Moving east.
0:(30,17) 1:(10,21) 2:(9,21) Avatar 1:(10,21) Moving west.
0:(30,17) 1:(9,21) 2:(9,21) Avatar 2:(9,21) Moving north.
0:(30,17) 1:(9,21) 2:(9,20) Avatar 0:(30,17) Moving south.
0:(30,17) 1:(9,21) 2:(9,20) Avatar 1:(9,21) Moving north.
0:(30,17) 1:(9,20) 2:(9,20) Avatar 2:(9,20) Moving north.
0:(30,17) 1:(9,20) 2:(9,20) Avatar 0:(30,17) Moving west.
0:(29,17) 1:(9,20) 2:(9,20) Avatar 1:(9,20) Sleeping.
0:(29,17) 1:(9,20) 2:(9,20) Avatar 2:(9,20) Moving west.
0:(29,17) 1:(9,20) 2:(8,20) Avatar 0:(29,17) Moving south.
0:(29,18) 1:(9,20) 2:(8,20) Avatar 1:(9,20) Moving west.
0:(29,18) 1:(8,20) 2:(8,20) Avatar 2:(8,20) Moving north.
0:(29,18) 1:(8,20) 2:(8,20) Avatar 0:(29,18) Moving east.
0:(29,18) 1:(8,20) 2:(8,20) Avatar 1:(8,20) Sleeping.
0:(29,18) 1:(8,20) 2:(8,20) Avatar 2:(8,20) Moving south.
0:(29,18) 1:(8,20) 2:(8,21) Avatar 0:(29,18) Moving south.
0:(29,18) 1:(8,20) 2:(8,21) Avatar 1:(8,20) Moving south.
0:(29,18) 1:(8,21) 2:(8,21) Avatar 2:(8,21) Moving east.
0:(29,18) 1:(8,21) 2:(8,21) Avatar 0:(29,18) Moving west.
0:(28,18) 1:(8,21) 2:(8,21) Avatar 1:(8,21) Sleeping.
0:(28,18) 1:(8,21) 2:(8,21) Avatar 2:(8,21) Moving west.
0:(28,18) 1:(8,21) 2:(7,21) Avatar 0:(28,18) Moving south.
0:(28,18) 1:(8,21) 2:(7,21) Avatar 1:(8,21) Moving west.
0:(28,18) 1:(7,21) 2:(7,21) Avatar 2:(7,21) Moving north.
0:(28,18) 1:(7,21) 2:(7,21) Avatar 0:(28,18) Moving west.
0:(27,18) 1:(7,21) 2:(7,21) Avatar 1:(7,21) Sleeping.
0:(27,18) 1:(7,21) 2:(7,21) Avatar 2:(7,21) Moving south.
0:(27,18) 1:(7,21) 2:(7,22) Avatar 0:(27,18) Moving north.
0:(27,18) 1:(7,21) 2:(7,22) Avatar 1:(7,21) Moving south.
0:(27,18) 1:(7,22) 2:(7,22) Avatar 2:(7,22) Moving east.
0:(27,18) 1:(7,22) 2:(7,22) Avatar 0:(27,18) Moving south.
0:(27,19) 1:(7,22) 2:(7,22) Avatar 1:(7,22) Sleeping.
0:(27,19) 1:(7,22) 2:(7,22) Avatar 2:(7,22) Moving south.
0:(27,19) 1:(7,22) 2:(7,23) Avatar 0:(27,19) Moving east.
0:(27,19) 1:(7,22) 2:(7,23) Avatar 1:(7,22) Moving south.
0:(27,19) 1:(7,23) 2:(7,23) Avatar 2:(7,23) Moving east.
0:(27,19) 1:(7,23) 2:(7,23) Avatar 0:(27,19) Moving south.
0:(27,20) 1:(7,23) 2:(7,23) Avatar 1:(7,23) Sleeping.
0:(27,20) 1:(7,23) 2:(7,23) Avatar 2:(7,23) Moving south.
0:(27,20) 1:(7,23) 2:(7,23) Avatar 0:(27,20) Moving east.
0:(27,20) 1:(7,23) 2:(7,23) Avatar 1:(7,23) Sleeping.
0:(27,20) 1:(7,23) 2:(7,23) Avatar 2:(7,23) Moving west.
0:(27,20) 1:(7,23) 2:(6,23) Avatar 0:(27,20) Moving south.
0:(27,20) 1:(7,23) 2:(6,23) Avatar 1:(7,23) Moving west.
0:(27,20) 1:(6,23) 2:(6,23) Avatar 2:(6,23) Moving north.
0:(27,20) 1:(6,23) 2:(6,23) Avatar 0:(27,20) Moving west.
0:(27,20) 1:(6,23) 2:(6,23) Avatar 1:(6,23) Sleeping.
0:(27,20) 1:(6,23) 2:(6,23) Avatar 2:(6,23) Moving south.
0:(27,20) 1:(6,23) 2:(6,23) Avatar 0:(27,20) Moving north.
0:(27,19) 1:(6,23) 2:(6,23) Avatar 1:(6,23) Sleeping.
0:(27,19) 1:(6,23) 2:(6,23) Avatar 2:(6,23) Moving west.
0:(27,19) 1:(6,23) 2:(5,23) Avatar 0:(27,19) Moving west.
0:(27,19) 1:(6,23) 2:(5,23) Avatar 1:(6,23) Moving west.
0:(27,19) 1:(5,23) 2:(5,23) Avatar 2:(5,23) Moving north.
0:(27,19) 1:(5,23) 2:(5,22) Avatar 0:(27,19) Moving north.
0:(27,18) 1:(5,23) 2:(5,22) Avatar 1:(5,23) Moving north.
0:(27,18) 1:(5,22) 2:(5,22) Avatar 2:(5,22) Moving north.
0:(27,18) 1:(5,22) 2:(5,22) Avatar 0:(27,18) Moving west.
0:(27,18) 1:(5,22) 2:(5,22) Avatar 1:(5,22) Sleeping.
0:(27,18) 1:(5,22) 2:(5,22) Avatar 2:(5,22) Moving east.
0:(27,18) 1:(5,22) 2:(5,22) Avatar 0:(27,18) Moving east.
0:(28,18) 1:(5,22) 2:(5,22) Avatar 1:(5,22) Sleeping.
0:(28,18) 1:(5,22) 2:(5,22) Avatar 2:(5,22) Moving west.
0:(28,18) 1:(5,22) 2:(4,22) Avatar 0:(28,18) Moving north.
0:(28,17) 1:(5,22) 2:(4,22) Avatar 1:(5,22) Moving west.
0:(28,17) 1:(4,22) 2:(4,22) Avatar 2:(4,22) Moving north.
0:(28,17) 1:(4,22) 2:(4,22) Avatar 0:(28,17) Moving west.
0:(27,17) 1:(4,22) 2:(4,22) Avatar 1:(4,22) Sleeping.
0:(27,17) 1:(4,22) 2:(4,22) Avatar 2:(4,22) Moving south.
0:(27,17) 1:(4,22) 2:(4,23) Avatar 0:(27,17) Moving west.
0:(26,17) 1:(4,22) 2:(4,23) Avatar 1:(4,22) Moving south.
0:(26,17) 1:(4,23) 2:(4,23) Avatar 2:(4,23) Moving east.
0:(26,17) 1:(4,23) 2:(4,23) Avatar 0:(26,17) Moving south.
0:(26,18) 1:(4,23) 2:(4,23) Avatar 1:(4,23) Sleeping.
0:(26,18) 1:(4,23) 2:(4,23) Avatar 2:(4,23) Moving south.
0:(26,18) 1:(4,23) 2:(4,23) Avatar 0:(26,18) Moving south.
0:(26,19) 1:(4,23) 2:(4,23) Avatar 1:(4,23) Sleeping.
0:(26,19) 1:(4,23) 2:(4,23) Avatar 2:(4,23) Moving west.
0:(26,19) 1:(4,23) 2:(3,23) Avatar 0:(26,19) Moving south.
0:(26,20) 1:(4,23) 2:(3,23) Avatar 1:(4,23) Moving west.
0:(26,20) 1:(3,23) 2:(3,23) Avatar 2:(3,23) Moving north.
0:(26,20) 1:(3,23) 2:(3,22) Avatar 0:(26,20) Moving south.
0:(26,21) 1:(3,23) 2:(3,22) Avatar 1:(3,23) Moving north.
0:(26,21) 1:(3,22) 2:(3,22) Avatar 2:(3,22) Moving north.
0:(26,21) 1:(3,22) 2:(3,21) Avatar 0:(26,21) Moving east.
0:(27,21) 1:(3,22) 2:(3,21) Avatar 1:(3,22) Moving north.
0:(27,21) 1:(3,21) 2:(3,21) Avatar 2:(3,21) Moving north.
0:(27,21) 1:(3,21) 2:(3,20) Avatar 0:(27,21) Moving east.
0:(28,21) 1:(3,21) 2:(3,20) Avatar 1:(3,21) Moving north.
0:(28,21) 1:(3,20) 2:(3,20) Avatar 2:(3,20) Moving north.
0:(28,21) 1:(3,20) 2:(3,20) Avatar 0:(28,21) Moving north.
0:(28,20) 1:(3,20) 2:(3,20) Avatar 1:(3,20) Sleeping.
0:(28,20) 1:(3,20) 2:(3,20) Avatar 2:(3,20) Moving east.
0:(28,20) 1:(3,20) 2:(4,20) Avatar 0:(28,20) Moving north.
0:(28,19) 1:(3,20) 2:(4,20) Avatar 1:(3,20) Moving east.
0:(28,19) 1:(4,20) 2:(4,20) Avatar 2:(4,20) Moving north.
0:(28,19) 1:(4,20) 2:(4,19) Avatar 0:(28,19) Moving east.
0:(29,19) 1:(4,20) 2:(4,19) Avatar 1:(4,20) Moving north.
0:(29,19) 1:(4,19) 2:(4,19) Avatar 2:(4,19) Moving north.
0:(29,19) 1:(4,19) 2:(4,19) Avatar 0:(29,19) Moving east.
0:(29,19) 1:(4,19) 2:(4,19) Avatar 1:(4,19) Sleeping.
0:(29,19) 1:(4,19) 2:(4,19) Avatar 2:(4,19) Moving east.
0:(29,19) 1:(4,19) 2:(5,19) Avatar 0:(29,19) Moving south.
0:(29,20) 1:(4,19) 2:(5,19) Avatar 1:(4,19) Moving east.
0:(29,20) 1:(5,19) 2:(5,19) Avatar 2:(5,19) Moving north.
0:(29,20) 1:(5,19) 2:(5,19) Avatar 0:(29,20) Moving east.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 1:(5,19) Sleeping.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 2:(5,19) Moving east.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 0:(30,20) Moving north.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 1:(5,19) Sleeping.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 2:(5,19) Moving south.
0:(30,20) 1:(5,19) 2:(5,19) Avatar 0:(30,20) Moving east.
0:(31,20) 1:(5,19) 2:(5,19) Avatar 1:(5,19) Moving west.
0:(31,20) 1:(4,19) 2:(5,19) Avatar 2:(5,19) Moving west.
0:(31,20) 1:(4,19) 2:(4,19) Avatar 0:(31,20) Moving north.
0:(31,19) 1:(4,19) 2:(4,19) Avatar 1:(4,19) Sleeping.
0:(31,19) 1:(4,19) 2:(4,19) Avatar 2:(4,19) Moving west.
0:(31,19) 1:(4,19) 2:(3,19) Avatar 0:(31,19) Moving north.
0:(31,19) 1:(4,19) 2:(3,19) Avatar 1:(4,19) Moving west.
0:(31,19) 1:(3,19) 2:(3,19) Avatar 2:(3,19) Moving north.
0:(31,19) 1:(3,19) 2:(3,19) Avatar 0:(31,19) Moving east.
0:(32,19) 1:(3,19) 2:(3,19) Avatar 1:(3,19) Sleeping.
0:(32,19) 1:(3,19) 2:(3,19) Avatar 2:(3,19) Moving west.
0:(32,19) 1:(3,19) 2:(2,19) Avatar 0:(32,19) Moving north.
0:(32,19) 1:(3,19) 2:(2,19) Avatar 1:(3,19) Moving west.
0:(32,19) 1:(2,19) 2:(2,19) Avatar 2:(2,19) Moving north.
0:(32,19) 1:(2,19) 2:(2,19) Avatar 0:(32,19) Moving east.
0:(32,19) 1:(2,19) 2:(2,19) Avatar 1:(2,19) Sleeping.
0:(32,19) 1:(2,19) 2:(2,19) Avatar 2:(2,19) Moving south.
0:(32,19) 1:(2,19) 2:(2,20) Avatar 0:(32,19) Moving south.
0:(32,19) 1:(2,19) 2:(2,20) Avatar 1:(2,19) Moving south.
0:(32,19) 1:(2,20) 2:(2,20) Avatar 2:(2,20) Moving east.
0:(32,19) 1:(2,20) 2:(2,20) Avatar 0:(32,19) Moving west.
0:(31,19) 1:(2,20) 2:(2,20) Avatar 1:(2,20) Sleeping.
0:(31,19) 1:(2,20) 2:(2,20) Avatar 2:(2,20) Moving south.
0:(31,19) 1:(2,20) 2:(2,20) Avatar 0:(31,19) Moving west.
0:(30,19) 1:(2,20) 2:(2,20) Avatar 1:(2,20) Sleeping.
0:(30,19) 1:(2,20) 2:(2,20) Avatar 2:(2,20) Moving west.
0:(30,19) 1:(2,20) 2:(2,20) Avatar 0:(30,19) Moving north.
0:(30,18) 1:(2,20) 2:(2,20) Avatar 1:(2,20) Moving north.
0:(30,18) 1:(2,19) 2:(2,20) Avatar 2:(2,20) Moving north.
0:(30,18) 1:(2,19) 2:(2,19) Avatar 0:(30,18) Moving east.
0:(31,18) 1:(2,19) 2:(2,19) Avatar 1:(2,19) Sleeping.
0:(31,18) 1:(2,19) 2:(2,19) Avatar 2:(2,19) Moving west.
0:(31,18) 1:(2,19) 2:(2,19) Avatar 0:(31,18) Moving north.
0:(31,18) 1:(2,19) 2:(2,19) Avatar 1:(2,19) Moving east.
0:(31,18) 1:(3,19) 2:(2,19) Avatar 2:(2,19) Moving east.
0:(31,18) 1:(3,19) 2:(3,19) Avatar 0:(31,18) Moving east.
0:(32,18) 1:(3,19) 2:(3,19) Avatar 1:(3,19) Moving east.
0:(32,18) 1:(4,19) 2:(3,19) Avatar 2:(3,19) Moving east.
0:(32,18) 1:(4,19) 2:(4,19) Avatar 0:(32,18) Moving north.
0:(32,18) 1:(4,19) 2:(4,19) Avatar 1:(4,19) Moving south.
0:(32,18) 1:(4,20) 2:(4,19) Avatar 2:(4,19) Moving south.
0:(32,18) 1:(4,20) 2:(4,20) Avatar 0:(32,18) Moving east.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 1:(4,20) Sleeping.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 2:(4,20) Moving east.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 0:(33,18) Moving north.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 1:(4,20) Sleeping.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 2:(4,20) Moving south.
0:(33,18) 1:(4,20) 2:(4,20) Avatar 0:(33,18) Moving east.
0:(34,18) 1:(4,20) 2:(4,20) Avatar 1:(4,20) Moving west.
0:(34,18) 1:(3,20) 2:(4,20) Avatar 2:(4,20) Moving west.
0:(34,18) 1:(3,20) 2:(3,20) Avatar 0:(34,18) Moving north.
0:(34,17) 1:(3,20) 2:(3,20) Avatar 1:(3,20) Moving south.
0:(34,17) 1:(3,21) 2:(3,20) Avatar 2:(3,20) Moving south.
0:(34,17) 1:(3,21) 2:(3,21) Avatar 0:(34,17) Moving north.
0:(34,16) 1:(3,21) 2:(3,21) Avatar 1:(3,21) Sleeping.
0:(34,16) 1:(3,21) 2:(3,21) Avatar 2:(3,21) Moving east.
0:(34,16) 1:(3,21) 2:(4,21) Avatar 0:(34,16) Moving north.
0:(34,16) 1:(3,21) 2:(4,21) Avatar 1:(3,21) Moving east.
0:(34,16) 1:(4,21) 2:(4,21) Avatar 2:(4,21) Moving east.
0:(34,16) 1:(4,21) 2:(5,21) Avatar 0:(34,16) Moving east.
0:(34,16) 1:(4,21) 2:(5,21) Avatar 1:(4,21) Moving east.
0:(34,16) 1:(5,21) 2:(5,21) Avatar 2:(5,21) Moving north.
0:(34,16) 1:(5,21) 2:(5,20) Avatar 0:(34,16) Moving west.
0:(34,16) 1:(5,21) 2:(5,20) Avatar 1:(5,21) Moving north.
0:(34,16) 1:(5,20) 2:(5,20) Avatar 2:(5,20) Moving east.
0:(34,16) 1:(5,20) 2:(6,20) Avatar 0:(34,16) Moving south.
0:(34,17) 1:(5,20) 2:(6,20) Avatar 1:(5,20) Moving east.
0:(34,17) 1:(6,20) 2:(6,20) Avatar 2:(6,20) Moving north.
0:(34,17) 1:(6,20) 2:(6,19) Avatar 0:(34,17) Moving east.
0:(34,17) 1:(6,20) 2:(6,19) Avatar 1:(6,20) Moving north.
0:(34,17) 1:(6,19) 2:(6,19) Avatar 2:(6,19) Moving north.
0:(34,17) 1:(6,19) 2:(6,19) Avatar 0:(34,17) Moving west.
0:(33,17) 1:(6,19) 2:(6,19) Avatar 1:(6,19) Sleeping.
0:(33,17) 1:(6,19) 2:(6,19) Avatar 2:(6,19) Moving east.
0:(33,17) 1:(6,19) 2:(7,19) Avatar 0:(33,17) Moving north.
0:(33,17) 1:(6,19) 2:(7,19) Avatar 1:(6,19) Moving east.
0:(33,17) 1:(7,19) 2:(7,19) Avatar 2:(7,19) Moving north.
0:(33,17) 1:(7,19) 2:(7,18) Avatar 0:(33,17) Moving west.
0:(33,17) 1:(7,19) 2:(7,18) Avatar 1:(7,19) Moving north.
0:(33,17) 1:(7,18) 2:(7,18) Avatar 2:(7,18) Moving north.
0:(33,17) 1:(7,18) 2:(7,18) Avatar 0:(33,17) Moving east.
0:(34,17) 1:(7,18) 2:(7,18) Avatar 1:(7,18) Sleeping.
0:(34,17) 1:(7,18) 2:(7,18) Avatar 2:(7,18) Moving east.
0:(34,17) 1:(7,18) 2:(7,18) Avatar 0:(34,17) Moving south.
0:(34,18) 1:(7,18) 2:(7,18) Avatar 1:(7,18) Sleeping.
0:(34,18) 1:(7,18) 2:(7,18) Avatar 2:(7,18) Moving west.
0:(34,18) 1:(7,18) 2:(6,18) Avatar 0:(34,18) Moving east.
0:(34,18) 1:(7,18) 2:(6,18) Avatar 1:(7,18) Moving west.
0:(34,18) 1:(6,18) 2:(6,18) Avatar 2:(6,18) Moving north.
0:(34,18) 1:(6,18) 2:(6,17) Avatar 0:(34,18) Moving south.
0:(34,18) 1:(6,18) 2:(6,17) Avatar 1:(6,18) Moving north.
0:(34,18) 1:(6,17) 2:(6,17) Avatar 2:(6,17) Moving north.
0:(34,18) 1:(6,17) 2:(6,17) Avatar 0:(34,18) Moving west.
0:(33,18) 1:(6,17) 2:(6,17) Avatar 1:(6,17) Sleeping.
0:(33,18) 1:(6,17) 2:(6,17) Avatar 2:(6,17) Moving east.
0:(33,18) 1:(6,17) 2:(6,17) Avatar 0:(33,18) Moving south.
0:(33,19) 1:(6,17) 2:(6,17) Avatar 1:(6,17) Sleeping.
0:(33,19) 1:(6,17) 2:(6,17) Avatar 2:(6,17) Moving west.
0:(33,19) 1:(6,17) 2:(5,17) Avatar 0:(33,19) Moving east.
0:(34,19) 1:(6,17) 2:(5,17) Avatar 1:(6,17) Moving west.
0:(34,19) 1:(5,17) 2:(5,17) Avatar 2:(5,17) Moving north.
0:(34,19) 1:(5,17) 2:(5,16) Avatar 0:(34,19) Moving east.
0:(34,19) 1:(5,17) 2:(5,16) Avatar 1:(5,17) Moving north.
0:(34,19) 1:(5,16) 2:(5,16) Avatar 2:(5,16) Moving north.
0:(34,19) 1:(5,16) 2:(5,16) Avatar 0:(34,19) Moving south.
0:(34,20) 1:(5,16) 2:(5,16) Avatar 1:(5,16) Sleeping.
0:(34,20) 1:(5,16) 2:(5,16) Avatar 2:(5,16) Moving east.
0:(34,20) 1:(5,16) 2:(6,16) Avatar 0:(34,20) Moving east.
0:(34,20) 1:(5,16) 2:(6,16) Avatar 1:(5,16) Moving east.
0:(34,20) 1:(6,16) 2:(6,16) Avatar 2:(6,16) Moving north.
0:(34,20) 1:(6,16) 2:(6,15) Avatar 0:(34,20) Moving south.
0:(34,21) 1:(6,16) 2:(6,15) Avatar 1:(6,16) Moving north.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 2:(6,15) Moving north.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 0:(34,21) Moving east.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 1:(6,15) Sleeping.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 2:(6,15) Moving east.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 0:(34,21) Moving south.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 1:(6,15) Sleeping.
0:(34,21) 1:(6,15) 2:(6,15) Avatar 2:(6,15) Moving west.
0:(34,21) 1:(6,15) 2:(5,15) Avatar 0:(34,21) Moving west.
0:(33,21) 1:(6,15) 2:(5,15) Avatar 1:(6,15) Moving west.
0:(33,21) 1:(5,15) 2:(5,15) Avatar 2:(5,15) Moving north.
0:(33,21) 1:(5,15) 2:(5,14) Avatar 0:(33,21) Moving north.
0:(33,20) 1:(5,15) 2:(5,14) Avatar 1:(5,15) Moving north.
0:(33,20) 1:(5,14) 2:(5,14) Avatar 2:(5,14) Moving north.
0:(33,20) 1:(5,14) 2:(5,14) Avatar 0:(33,20) Moving north.
0:(33,20) 1:(5,14) 2:(5,14) Avatar 1:(5,14) Sleeping.
0:(33,20) 1:(5,14) 2:(5,14) Avatar 2:(5,14) Moving east.
0:(33,20) 1:(5,14) 2:(6,14) Avatar 0:(33,20) Moving east.
0:(33,20) 1:(5,14) 2:(6,14) Avatar 1:(5,14) Moving east.
0:(33,20) 1:(6,14) 2:(6,14) Avatar 2:(6,14) Moving north.
0:(33,20) 1:(6,14) 2:(6,14) Avatar 0:(33,20) Moving west.
0:(32,20) 1:(6,14) 2:(6,14) Avatar 1:(6,14) Sleeping.
0:(32,20) 1:(6,14) 2:(6,14) Avatar 2:(6,14) Moving east.
0:(32,20) 1:(6,14) 2:(7,14) Avatar 0:(32,20) Moving south.
0:(32,21) 1:(6,14) 2:(7,14) Avatar 1:(6,14) Moving east.
0:(32,21) 1:(7,14) 2:(7,14) Avatar 2:(7,14) Moving north.
0:(32,21) 1:(7,14) 2:(7,14) Avatar 0:(32,21) Moving east.
0:(32,21) 1:(7,14) 2:(7,14) Avatar 1:(7,14) Sleeping.
0:(32,21) 1:(7,14) 2:(7,14) Avatar 2:(7,14) Moving east.
0:(32,21) 1:(7,14) 2:(7,14) Avatar 0:(32,21) Moving south.
0:(32,22) 1:(7,14) 2:(7,14) Avatar 1:(7,14) Sleeping.
0:(32,22) 1:(7,14) 2:(7,14) Avatar 2:(7,14) Moving south.
0:(32,22) 1:(7,14) 2:(7,14) Avatar 0:(32,22) Moving east.
0:(33,22) 1:(7,14) 2:(7,14) Avatar 1:(7,14) Moving west.
0:(33,22) 1:(6,14) 2:(7,14) Avatar 2:(7,14) Moving west.
0:(33,22) 1:(6,14) 2:(6,14) Avatar 0:(33,22) Moving north.
0:(33,22) 1:(6,14) 2:(6,14) Avatar 1:(6,14) Moving west.
0:(33,22) 1:(5,14) 2:(6,14) Avatar 2:(6,14) Moving west.
0:(33,22) 1:(5,14) 2:(5,14) Avatar 0:(33,22) Moving east.
0:(34,22) 1:(5,14) 2:(5,14) Avatar 1:(5,14) Sleeping.
0:(34,22) 1:(5,14) 2:(5,14) Avatar 2:(5,14) Moving west.
0:(34,22) 1:(5,14) 2:(4,14) Avatar 0:(34,22) Moving east.
0:(35,22) 1:(5,14) 2:(4,14) Avatar 1:(5,14) Moving west.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 2:(4,14) Moving north.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 0:(35,22) Moving north.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 1:(4,14) Sleeping.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 2:(4,14) Moving south.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 0:(35,22) Moving east.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 1:(4,14) Sleeping.
0:(35,22) 1:(4,14) 2:(4,14) Avatar 2:(4,14) Moving west.
0:(35,22) 1:(4,14) 2:(3,14) Avatar 0:(35,22) Moving south.
0:(35,23) 1:(4,14) 2:(3,14) Avatar 1:(4,14) Moving west.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 2:(3,14) Moving north.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 0:(35,23) Moving east.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 1:(3,14) Sleeping.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 2:(3,14) Moving south.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 0:(35,23) Moving south.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 1:(3,14) Sleeping.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 2:(3,14) Moving west.
0:(35,23) 1:(3,14) 2:(3,14) Avatar 0:(35,23) Moving west.
0:(34,23) 1:(3,14) 2:(3,14) Avatar 1:(3,14) Moving east.
0:(34,23) 1:(4,14) 2:(3,14) Avatar 2:(3,14) Moving east.
0:(34,23) 1:(4,14) 2:(4,14) Avatar 0:(34,23) Moving north.
0:(34,23) 1:(4,14) 2:(4,14) Avatar 1:(4,14) Moving east.
0:(34,23) 1:(5,14) 2:(4,14) Avatar 2:(4,14) Moving east.
0:(34,23) 1:(5,14) 2:(5,14) Avatar 0:(34,23) Moving south.
0:(34,24) 1:(5,14) 2:(5,14) Avatar 1:(5,14) Moving south.
0:(34,24) 1:(5,15) 2:(5,14) Avatar 2:(5,14) Moving south.
0:(34,24) 1:(5,15) 2:(5,15) Avatar 0:(34,24) Moving east.
0:(34,24) 1:(5,15) 2:(5,15) Avatar 1:(5,15) Sleeping.
0:(34,24) 1:(5,15) 2:(5,15) Avatar 2:(5,15) Moving west.
0:(34,24) 1:(5,15) 2:(5,15) Avatar 0:(34,24) Moving south.
0:(34,25) 1:(5,15) 2:(5,15) Avatar 1:(5,15) Moving east.
0:(34,25) 1:(6,15) 2:(5,15) Avatar 2:(5,15) Moving east.
0:(34,25) 1:(6,15) 2:(6,15) Avatar 0:(34,25) Moving east.
